"filename", "language", "TypeScript", "CSS", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "SQLite", "TypeScript JSX", "YAML", "comment", "blank", "total"
"d:\College\Sem3\Db\GroupProject\rms\app\menus\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 3, 10, 79
"d:\College\Sem3\Db\GroupProject\rms\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 11, 17, 356
"d:\College\Sem3\Db\GroupProject\rms\app\regions\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 3, 9, 63
"d:\College\Sem3\Db\GroupProject\rms\app\regions\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\regions\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 5, 30
"d:\College\Sem3\Db\GroupProject\rms\app\regions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 2, 5, 58
"d:\College\Sem3\Db\GroupProject\rms\app\reports\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\reports\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 293, 0, 7, 24, 324
"d:\College\Sem3\Db\GroupProject\rms\app\restaurant-types\[typeId]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 2, 10, 69
"d:\College\Sem3\Db\GroupProject\rms\app\restaurant-types\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\College\Sem3\Db\GroupProject\rms\app\restaurant-types\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 6, 39
"d:\College\Sem3\Db\GroupProject\rms\app\restaurant-types\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 2, 8, 63
"d:\College\Sem3\Db\GroupProject\rms\app\restaurants\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 3, 10, 86
"d:\College\Sem3\Db\GroupProject\rms\app\restaurants\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 5, 18, 261
